,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid,Products Platt's Singapore HSFO 180 CST (Paper) 1st month Mid
1-Feb-00,136,136,136,136
31-Jan-00,130.25,130.25,130.25,130.25
28-Jan-00,132,132,132,132
27-Jan-00,133.875,133.875,133.875,133.875
26-Jan-00,137.5,137.5,137.5,137.5
25-Jan-00,136.875,136.875,136.875,136.875
24-Jan-00,142.5,142.5,142.5,142.5
21-Jan-00,141.25,141.25,141.25,141.25
20-Jan-00,137.75,137.75,137.75,137.75
19-Jan-00,139.375,139.375,139.375,139.375
18-Jan-00,135.5,135.5,135.5,135.5
17-Jan-00,133.375,133.375,133.375,133.375
14-Jan-00,127,127,127,127
13-Jan-00,126.75,126.75,126.75,126.75
12-Jan-00,124.25,124.25,124.25,124.25
11-Jan-00,126.75,126.75,126.75,126.75
10-Jan-00,127.5,127.5,127.5,127.5
7-Jan-00,128.25,128.25,128.25,128.25
6-Jan-00,129.75,129.75,129.75,129.75
5-Jan-00,131.25,131.25,131.25,131.25
4-Jan-00,130.25,130.25,130.25,130.25
3-Jan-00,132.917,132.917,132.917,132.917
